[2026/09/25 22:48:38:6574] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 22:48:38:6576] N: tty configuration:
[2026/09/25 22:48:38:6576] N:   start command: /tmp/tcc-muhyyffw/attach.sh
[2026/09/25 22:48:38:6576] N:   close signal: SIGHUP (1)
[2026/09/25 22:48:38:6577] N:   terminal type: xterm-256color
[2026/09/25 22:48:38:6577] N:   allow url arg: true
[2026/09/25 22:48:38:6577] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 22:48:47:2069] N: WS closed from (unix skt), clients: 6
[2026/09/25 22:48:47:2069] N: killing process, pid: 36246
[2026/09/25 22:48:47:2073] N: process killed with signal 0, pid: 36246
[2026/09/25 22:48:47:2202] N: WS closed from (unix skt), clients: 5
[2026/09/25 22:48:47:2202] N: killing process, pid: 36237
[2026/09/25 22:48:47:2202] N: WS closed from (unix skt), clients: 4
[2026/09/25 22:48:47:2202] N: killing process, pid: 36238
[2026/09/25 22:48:47:2207] N: process killed with signal 0, pid: 36237
[2026/09/25 22:48:47:2207] N: process killed with signal 0, pid: 36238
[2026/09/25 22:48:47:6590] N: WS closed from (unix skt), clients: 3
[2026/09/25 22:48:47:6591] N: killing process, pid: 36232
[2026/09/25 22:48:47:6596] N: process killed with signal 0, pid: 36232
[2026/09/25 22:48:47:7475] N: WS closed from (unix skt), clients: 2
[2026/09/25 22:48:47:7476] N: killing process, pid: 36252
[2026/09/25 22:48:47:7484] N: process killed with signal 0, pid: 36252
[2026/09/25 22:48:48:8732] N: WS closed from (unix skt), clients: 1
[2026/09/25 22:48:48:8733] N: killing process, pid: 36234
[2026/09/25 22:48:48:8733] N: WS closed from (unix skt), clients: 0
[2026/09/25 22:48:48:8733] N: killing process, pid: 36256
[2026/09/25 22:48:48:8737] N: process killed with signal 0, pid: 36234
[2026/09/25 22:48:48:8740] N: process killed with signal 0, pid: 36256
[2026/09/25 22:48:48:8799] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 22:48:48:8799] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 22:48:48:8799] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 22:48:48:8800] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 22:48:48:8800] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 22:48:48:8800] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 22:48:48:8800] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 22:48:48:8800] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 22:48:48:8807] N: started process, pid: 36542
[2026/09/25 22:48:48:8808] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 22:48:48:8809] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 22:48:48:8812] N: started process, pid: 36543
[2026/09/25 22:48:48:8815] N: started process, pid: 36544
[2026/09/25 22:48:48:8820] N: started process, pid: 36545
[2026/09/25 22:48:48:8826] N: started process, pid: 36546
[2026/09/25 22:48:48:8833] N: started process, pid: 36547
[2026/09/25 22:48:48:8844] N: started process, pid: 36548
[2026/09/25 22:48:48:8864] N: started process, pid: 36553
[2026/09/25 22:48:48:8876] N: started process, pid: 36567
[2026/09/25 22:48:48:8881] N: started process, pid: 36572
[2026/09/25 22:48:48:9760] N: WS closed from (unix skt), clients: 9
[2026/09/25 22:48:48:9761] N: killing process, pid: 36544
[2026/09/25 22:48:48:9763] N: process killed with signal 1, pid: 36544
[2026/09/25 22:48:49:0288] N: WS closed from (unix skt), clients: 8
[2026/09/25 22:48:49:0288] N: killing process, pid: 36547
[2026/09/25 22:48:49:0292] N: process killed with signal 1, pid: 36547
[2026/09/25 22:48:49:1762] N: WS closed from (unix skt), clients: 7
[2026/09/25 22:48:49:1762] N: killing process, pid: 36543
[2026/09/25 22:48:49:1762] N: WS closed from (unix skt), clients: 6
[2026/09/25 22:48:49:1762] N: killing process, pid: 36542
[2026/09/25 22:48:49:1767] N: process killed with signal 0, pid: 36542
[2026/09/25 22:48:49:1768] N: process killed with signal 0, pid: 36543
[2026/09/25 22:48:49:2789] N: WS closed from (unix skt), clients: 5
[2026/09/25 22:48:49:2789] N: killing process, pid: 36553
[2026/09/25 22:48:49:2793] N: process killed with signal 0, pid: 36553
[2026/09/25 22:48:49:2920] N: WS closed from (unix skt), clients: 4
[2026/09/25 22:48:49:2920] N: killing process, pid: 36567
[2026/09/25 22:48:49:2923] N: process killed with signal 0, pid: 36567
[2026/09/25 22:48:49:7306] N: WS closed from (unix skt), clients: 3
[2026/09/25 22:48:49:7307] N: killing process, pid: 36546
[2026/09/25 22:48:49:7316] N: process killed with signal 0, pid: 36546
[2026/09/25 22:48:49:7936] N: WS closed from (unix skt), clients: 2
[2026/09/25 22:48:49:7937] N: killing process, pid: 36572
[2026/09/25 22:48:49:7950] N: process killed with signal 0, pid: 36572
[2026/09/25 22:48:50:8812] N: WS closed from (unix skt), clients: 1
[2026/09/25 22:48:50:8813] N: killing process, pid: 36548
[2026/09/25 22:48:50:8813] N: WS closed from (unix skt), clients: 0
[2026/09/25 22:48:50:8813] N: killing process, pid: 36545
[2026/09/25 22:48:50:8820] N: process killed with signal 0, pid: 36548
[2026/09/25 22:48:50:8830] N: process killed with signal 0, pid: 36545
[2026/09/25 22:48:50:8931] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 22:48:50:8931] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 22:48:50:8932] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 22:48:50:8932] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 22:48:50:8932] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 22:48:50:8932] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 22:48:50:8932] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 22:48:50:8932] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 22:48:50:8932] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 22:48:50:8933] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 22:48:50:8941] N: started process, pid: 36865
[2026/09/25 22:48:50:8946] N: started process, pid: 36866
[2026/09/25 22:48:50:8951] N: started process, pid: 36867
