[2026/09/25 17:50:01:6898] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 17:50:01:6901] N: tty configuration:
[2026/09/25 17:50:01:6901] N:   start command: /tmp/tcc-muhoaejx/attach.sh
[2026/09/25 17:50:01:6901] N:   close signal: SIGHUP (1)
[2026/09/25 17:50:01:6901] N:   terminal type: xterm-256color
[2026/09/25 17:50:01:6901] N:   allow url arg: true
[2026/09/25 17:50:01:6901] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 17:50:12:2101] N: process killed with signal 0, pid: 88883
[2026/09/25 17:50:12:2102] N: process killed with signal 0, pid: 88868
[2026/09/25 17:50:12:7115] N: WS closed from (unix skt), clients: 3
[2026/09/25 17:50:12:7116] N: killing process, pid: 88889
[2026/09/25 17:50:12:7116] N: WS closed from (unix skt), clients: 2
[2026/09/25 17:50:12:7116] N: killing process, pid: 88871
[2026/09/25 17:50:12:7124] N: process killed with signal 0, pid: 88871
[2026/09/25 17:50:12:7124] N: process killed with signal 0, pid: 88889
[2026/09/25 17:50:13:8314] N: WS closed from (unix skt), clients: 1
[2026/09/25 17:50:13:8314] N: killing process, pid: 88873
[2026/09/25 17:50:13:8314] N: WS closed from (unix skt), clients: 0
[2026/09/25 17:50:13:8315] N: killing process, pid: 88869
[2026/09/25 17:50:13:8323] N: process killed with signal 0, pid: 88873
[2026/09/25 17:50:13:8323] N: process killed with signal 0, pid: 88869
[2026/09/25 17:50:13:8388] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 17:50:13:8388] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 17:50:13:8388] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 17:50:13:8388] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 17:50:13:8388] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 17:50:13:8389] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 17:50:13:8389] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 17:50:13:8389] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 17:50:13:8389] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 17:50:13:8389] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 17:50:13:8393] N: started process, pid: 89217
[2026/09/25 17:50:13:8401] N: started process, pid: 89218
[2026/09/25 17:50:13:8417] N: started process, pid: 89219
[2026/09/25 17:50:13:8429] N: started process, pid: 89220
[2026/09/25 17:50:13:8433] N: started process, pid: 89221
[2026/09/25 17:50:13:8439] N: started process, pid: 89222
[2026/09/25 17:50:13:8462] N: started process, pid: 89226
[2026/09/25 17:50:13:8475] N: started process, pid: 89230
[2026/09/25 17:50:13:8487] N: started process, pid: 89238
[2026/09/25 17:50:13:8510] N: started process, pid: 89241
[2026/09/25 17:50:13:9692] N: WS closed from (unix skt), clients: 9
[2026/09/25 17:50:13:9693] N: killing process, pid: 89220
[2026/09/25 17:50:13:9697] N: process killed with signal 1, pid: 89220
[2026/09/25 17:50:14:0350] N: WS closed from (unix skt), clients: 8
[2026/09/25 17:50:14:0350] N: killing process, pid: 89238
[2026/09/25 17:50:14:0352] N: process killed with signal 1, pid: 89238
[2026/09/25 17:50:14:1105] N: WS closed from (unix skt), clients: 7
[2026/09/25 17:50:14:1106] N: killing process, pid: 89217
[2026/09/25 17:50:14:1112] N: process killed with signal 0, pid: 89217
[2026/09/25 17:50:14:1309] N: WS closed from (unix skt), clients: 6
[2026/09/25 17:50:14:1310] N: killing process, pid: 89219
[2026/09/25 17:50:14:1313] N: process killed with signal 0, pid: 89219
[2026/09/25 17:50:14:1861] N: WS closed from (unix skt), clients: 5
[2026/09/25 17:50:14:1861] N: killing process, pid: 89222
[2026/09/25 17:50:14:1865] N: process killed with signal 0, pid: 89222
[2026/09/25 17:50:14:2128] N: WS closed from (unix skt), clients: 4
[2026/09/25 17:50:14:2128] N: killing process, pid: 89226
[2026/09/25 17:50:14:2131] N: process killed with signal 0, pid: 89226
[2026/09/25 17:50:14:7010] N: WS closed from (unix skt), clients: 3
[2026/09/25 17:50:14:7010] N: killing process, pid: 89218
[2026/09/25 17:50:14:7023] N: process killed with signal 0, pid: 89218
[2026/09/25 17:50:14:7411] N: WS closed from (unix skt), clients: 2
[2026/09/25 17:50:14:7411] N: killing process, pid: 89230
[2026/09/25 17:50:14:7417] N: process killed with signal 0, pid: 89230
[2026/09/25 17:50:15:8406] N: WS closed from (unix skt), clients: 1
[2026/09/25 17:50:15:8406] N: killing process, pid: 89221
[2026/09/25 17:50:15:8407] N: WS closed from (unix skt), clients: 0
[2026/09/25 17:50:15:8407] N: killing process, pid: 89241
[2026/09/25 17:50:15:8415] N: process killed with signal 0, pid: 89221
[2026/09/25 17:50:15:8415] N: process killed with signal 0, pid: 89241
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 17:50:15:8485] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 17:50:15:8486] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 17:50:15:8489] N: started process, pid: 89564
[2026/09/25 17:50:15:8492] N: started process, pid: 89565
[2026/09/25 17:50:15:8495] N: started process, pid: 89566
[2026/09/25 17:50:15:8500] N: started process, pid: 89567
[2026/09/25 17:50:15:8505] N: started process, pid: 89568
[2026/09/25 17:50:15:8510] N: started process, pid: 89569
[2026/09/25 17:50:15:8515] N: started process, pid: 89570
[2026/09/25 17:50:15:8525] N: started process, pid: 89571
[2026/09/25 17:50:15:8534] N: started process, pid: 89574
